IdentifierType,IdentifierTypeID,ID,NIMSPEntityID
"Sunlight Lawmaker",1,ARL000090,6500802
"Sunlight Lawmaker",1,ARL000094,12997575
"Sunlight Lawmaker",1,ARL000098,13011079
"Sunlight Lawmaker",1,ARL000099,6382184
"Sunlight Lawmaker",1,ARL000100,23593233
"Sunlight Lawmaker",1,ARL000104,6661991
"Sunlight Lawmaker",1,ARL000105,6682622
"Sunlight Lawmaker",1,ARL000106,12997548
"Sunlight Lawmaker",1,ARL000112,6682697
"Sunlight Lawmaker",1,ARL000115,6412582
"Sunlight Lawmaker",1,ARL000119,12997595
"Sunlight Lawmaker",1,ARL000121,9899521
"Sunlight Lawmaker",1,ARL000122,12997555
"Sunlight Lawmaker",1,ARL000129,6682760
"Sunlight Lawmaker",1,ARL000130,6669756
"Sunlight Lawmaker",1,ARL000133,12997660
"Sunlight Lawmaker",1,ARL000139,6412406
"Sunlight Lawmaker",1,ARL000140,10885362
"Sunlight Lawmaker",1,ARL000141,10885321
"Sunlight Lawmaker",1,ARL000143,10885452
"Sunlight Lawmaker",1,ARL000144,10885403
"Sunlight Lawmaker",1,ARL000150,10885340
"Sunlight Lawmaker",1,ARL000152,10885395
"Sunlight Lawmaker",1,ARL000155,16003836
"Sunlight Lawmaker",1,ARL000161,9604589
"Sunlight Lawmaker",1,ARL000166,10885354
"Sunlight Lawmaker",1,ARL000170,10885449
"Sunlight Lawmaker",1,ARL000172,10885447
"Sunlight Lawmaker",1,ARL000177,10885379
"Sunlight Lawmaker",1,ARL000178,10885384
"Sunlight Lawmaker",1,ARL000180,10885429
"Sunlight Lawmaker",1,ARL000183,10885433
"Sunlight Lawmaker",1,ARL000186,9661770
"Sunlight Lawmaker",1,ARL000187,10886643
"Sunlight Lawmaker",1,ARL000188,9605777
"Sunlight Lawmaker",1,ARL000189,9675755
"Sunlight Lawmaker",1,ARL000191,10885392
"Sunlight Lawmaker",1,ARL000192,10885326
"Sunlight Lawmaker",1,ARL000195,22027680
"Sunlight Lawmaker",1,ARL000201,9652406
"Sunlight Lawmaker",1,ARL000214,10885370
"Sunlight Lawmaker",1,ARL000215,6500736
"Sunlight Lawmaker",1,ARL000216,6458617
"Sunlight Lawmaker",1,ARL000219,10885333
"Sunlight Lawmaker",1,ARL000220,10885425
"Sunlight Lawmaker",1,ARL000224,10885411
"Sunlight Lawmaker",1,ARL000226,10885445
"Sunlight Lawmaker",1,ARL000228,10885407
"Sunlight Lawmaker",1,ARL000234,10885335
"Sunlight Lawmaker",1,ARL000235,10885358
"Sunlight Lawmaker",1,ARL000238,10885451
"Sunlight Lawmaker",1,ARL000243,10885317
"Sunlight Lawmaker",1,ARL000249,674457
"Sunlight Lawmaker",1,ARL000252,10885342
"Sunlight Lawmaker",1,ARL000263,10885401
"Sunlight Lawmaker",1,ARL000264,22025600
"Sunlight Lawmaker",1,ARL000265,10885420
"Sunlight Lawmaker",1,ARL000266,22029572
"Sunlight Lawmaker",1,ARL000267,22027698
"Sunlight Lawmaker",1,ARL000268,18365785
"Sunlight Lawmaker",1,ARL000271,22027692
"Sunlight Lawmaker",1,ARL000272,19894836
"Sunlight Lawmaker",1,ARL000273,9624212
"Sunlight Lawmaker",1,ARL000275,22027799
"Sunlight Lawmaker",1,ARL000276,22029423
"Sunlight Lawmaker",1,ARL000278,22027687
"Sunlight Lawmaker",1,ARL000279,22027725
"Sunlight Lawmaker",1,ARL000281,19702850
"Sunlight Lawmaker",1,ARL000282,9653716
"Sunlight Lawmaker",1,ARL000283,10886660
"Sunlight Lawmaker",1,ARL000285,22025575
"Sunlight Lawmaker",1,ARL000287,22027727
"Sunlight Lawmaker",1,ARL000288,22027783
"Sunlight Lawmaker",1,ARL000289,22027748
"Sunlight Lawmaker",1,ARL000291,22027796
"Sunlight Lawmaker",1,ARL000292,22025570
"Sunlight Lawmaker",1,ARL000293,22027673
"Sunlight Lawmaker",1,ARL000296,22025586
"Sunlight Lawmaker",1,ARL000298,22027685
"Sunlight Lawmaker",1,ARL000303,12997072
"Sunlight Lawmaker",1,ARL000306,22025580
"Sunlight Lawmaker",1,ARL000308,14099273
"Sunlight Lawmaker",1,ARL000313,22027737
"Sunlight Lawmaker",1,ARL000317,22027811
"Sunlight Lawmaker",1,ARL000318,22027734
"Sunlight Lawmaker",1,ARL000322,22025582
"Sunlight Lawmaker",1,ARL000334,18912275
"Sunlight Lawmaker",1,ARL000336,22027715
"Sunlight Lawmaker",1,ARL000337,9607046
"Sunlight Lawmaker",1,ARL000339,10885422
"Sunlight Lawmaker",1,ARL000340,22027670
"Sunlight Lawmaker",1,ARL000342,10885424
"Sunlight Lawmaker",1,ARL000344,22027773
"Sunlight Lawmaker",1,ARL000345,22027679
"Sunlight Lawmaker",1,ARL000347,22027719
"Sunlight Lawmaker",1,ARL000350,22025606
"Sunlight Lawmaker",1,ARL000353,9652398
"Sunlight Lawmaker",1,ARL000354,9800262
"Sunlight Lawmaker",1,ARL000356,28206789
"Sunlight Lawmaker",1,AZL000004,6662215
"Sunlight Lawmaker",1,AZL000018,6459019
"Sunlight Lawmaker",1,AZL000024,6380735
"Sunlight Lawmaker",1,AZL000030,8914913
"Sunlight Lawmaker",1,AZL000031,8509414
"Sunlight Lawmaker",1,AZL000040,6671146
"Sunlight Lawmaker",1,AZL000041,6602301
"Sunlight Lawmaker",1,AZL000043,6400976
"Sunlight Lawmaker",1,AZL000045,12997769
"Sunlight Lawmaker",1,AZL000046,6400954
"Sunlight Lawmaker",1,AZL000054,6671162
"Sunlight Lawmaker",1,AZL000055,6479163
"Sunlight Lawmaker",1,AZL000059,6662273
"Sunlight Lawmaker",1,AZL000063,6671185
"Sunlight Lawmaker",1,AZL000065,12997825
"Sunlight Lawmaker",1,AZL000070,6479211
"Sunlight Lawmaker",1,AZL000072,6497390
"Sunlight Lawmaker",1,AZL000073,12997856
"Sunlight Lawmaker",1,AZL000075,6676721
"Sunlight Lawmaker",1,AZL000078,6479234
"Sunlight Lawmaker",1,AZL000087,6604460
"Sunlight Lawmaker",1,AZL000095,6604438
"Sunlight Lawmaker",1,AZL000096,6690560
"Sunlight Lawmaker",1,AZL000110,12997808
"Sunlight Lawmaker",1,AZL000124,6697077
"Sunlight Lawmaker",1,AZL000126,6690727
"Sunlight Lawmaker",1,AZL000130,6412623
"Sunlight Lawmaker",1,AZL000133,6690462
"Sunlight Lawmaker",1,AZL000134,6690571
